geneID	Sex.Bias.Category	log2FoldChange.Osada	Diff.Splicing.MCabs.vs.MCsim	Diff.Splicing.MCabs.vs.MCcom	Diff.Splicing.MCsim.vs.MCcom
FBgn0000008	Female-biased	-0.698130703224497	Not Significant	Not Significant	Not Significant
FBgn0000014	Male-biased	1.6338012853097	Not Significant	Not Significant	Not Significant
FBgn0000017	Female-biased	-1.48940756647201	Not Significant	Not Significant	Not Significant
FBgn0000018	Unbiased	-0.0263039322753586	Not Significant	Not Significant	Not Significant
FBgn0000024	Male-biased	2.73319684074929	Not Significant	Not Significant	Not Significant
FBgn0000032	Female-biased	-1.79757249208517	Not Significant	Not Significant	Not Significant
FBgn0000036	Male-biased	3.37587144186586	Not Significant	Not Significant	Not Significant
FBgn0000037	Male-biased	2.93806846159789	Not Significant	Not Significant	Not Significant
FBgn0000038	Male-biased	2.86685065147634	Not Significant	Not Significant	Not Significant
FBgn0000042	Female-biased	-0.805253709206694	Not Significant	Not Significant	Not Significant
FBgn0000043	Unbiased	-0.248148206347818	Not Significant	Not Significant	Not Significant
FBgn0000045	Male-biased	3.16529493456028	Not Significant	Not Significant	Not Significant
FBgn0000046	Male-biased	3.0555563103599	Not Significant	Not Significant	Not Significant
FBgn0000047	Male-biased	2.93644308894826	Not Significant	Not Significant	Not Significant
FBgn0000052	Unbiased	-0.0499694397231022	Not Significant	Not Significant	Not Significant
FBgn0000053	Male-biased	0.82170867535922	Not Significant	Not Significant	Significant
FBgn0000057	Unbiased	0.470373016974116	Not Significant	Not Significant	Not Significant
FBgn0000063	Female-biased	-1.95688212996181	Not Significant	Not Significant	Not Significant
FBgn0000064	Male-biased	2.06085935624143	Not Significant	Not Significant	Not Significant
FBgn0000075	Female-biased	-2.38799320272539	Not Significant	Not Significant	Not Significant
FBgn0000077	Female-biased	-1.09775630534139	Not Significant	Not Significant	Not Significant
FBgn0000079	Male-biased	1.82171006323716	Not Significant	Not Significant	Not Significant
FBgn0000083	Male-biased	0.869768766321701	Not Significant	Not Significant	Not Significant
FBgn0000084	Unbiased	0.279857250444906	Not Significant	Not Significant	Not Significant
FBgn0000097	Female-biased	-0.754528342401397	Not Significant	Not Significant	Not Significant
FBgn0000100	Female-biased	-0.53868257076585	Not Significant	Not Significant	Not Significant
FBgn0000108	Male-biased	2.43920291830409	Not Significant	Not Significant	Not Significant
FBgn0000109	Female-biased	-0.708760653827881	Not Significant	Not Significant	Not Significant
FBgn0000114	Female-biased	-0.640212820442075	Not Significant	Not Significant	Not Significant
FBgn0000115	Female-biased	-0.603545041011833	Not Significant	Not Significant	Not Significant
FBgn0000116	Male-biased	1.94812567132015	Not Significant	Not Significant	Not Significant
FBgn0000117	Female-biased	-1.26136216286431	Not Significant	Not Significant	Not Significant
FBgn0000119	Male-biased	0.957314677501883	Not Significant	Not Significant	Not Significant
FBgn0000120	Male-biased	4.37789715818272	Not Significant	Significant	Not Significant
FBgn0000121	Male-biased	3.52913026185277	Not Significant	Not Significant	Not Significant
FBgn0000139	Female-biased	-0.788485685357847	Not Significant	Not Significant	Not Significant
FBgn0000140	Female-biased	-2.50449634128944	Not Significant	Not Significant	Not Significant
FBgn0000146	Female-biased	-3.64727363130514	Not Significant	Not Significant	Not Significant
FBgn0000147	Female-biased	-1.2198395087065	Not Significant	Not Significant	Not Significant
FBgn0000150	Female-biased	-0.906702714332803	Not Significant	Not Significant	Not Significant
FBgn0000152	Female-biased	-0.588096788376228	Not Significant	Not Significant	Not Significant
FBgn0000153	Male-biased	2.27421106394122	Not Significant	Not Significant	Not Significant
FBgn0000158	Female-biased	-4.73559175015523	Not Significant	Not Significant	Not Significant
FBgn0000163	Unbiased	0.474024554053578	Not Significant	Not Significant	Not Significant
FBgn0000166	Female-biased	-7.03920108134079	Not Significant	Not Significant	Not Significant
FBgn0000173	Female-biased	-0.566200849184681	Not Significant	Not Significant	Not Significant
FBgn0000180	Male-biased	0.657109080470071	Not Significant	Not Significant	Not Significant
FBgn0000181	Female-biased	-1.20781740886976	Not Significant	Not Significant	Not Significant
FBgn0000183	Female-biased	-1.5153429680434	Not Significant	Not Significant	Significant
FBgn0000212	Female-biased	-1.64371719430562	Not Significant	Not Significant	Not Significant
FBgn0000228	Female-biased	-1.05425378811839	Not Significant	Not Significant	Not Significant
FBgn0000229	Male-biased	1.02396440471638	Not Significant	Not Significant	Not Significant
FBgn0000239	Female-biased	-0.80187253570801	Not Significant	Not Significant	Not Significant
